"filename", "language", "JSON with Comments", "TypeScript", "JSON", "CSS", "TypeScript JSX", "Markdown", "XML", "HTML", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\README.md", "Markdown", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 16, 62
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 5, 24
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\package.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3472, 0, 0, 474, 3946
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\App.css", "CSS", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 26, 102
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\LeftBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Main.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 12, 6, 151
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Reusable\LotteryTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 2, 20, 307
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tool.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\FigureSearcher\FigureList.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 4, 75
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\FigureSearcher\FigureSearcherTool.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\FigureSearcher\SearchInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 3, 77
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\MultipleGenerator\MultipleGeneratorTool.tsx", "TypeScript JSX", 0, 0, 0, 0, 463, 0, 0, 0, 0, 0, 177, 29, 669
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\PDFGenerator\PDFTool.tsx", "TypeScript JSX", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 8, 16, 265
"c:\Users\jalom\Desktop\NPM Projects\Vite\lottery-utilities\src\components\Tools\StandardGenerator\ComodinSelectorInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
